year,month,country,num_sources,num_articles,total_words
2012,2,KE,9,290,156686
2012,2,LK,9,165,137452
2012,2,MY,11,311,166210
2012,2,NG,16,520,462251
2012,2,NZ,52,1276,694671
2012,2,PH,17,706,418222
2012,2,PK,21,973,608827
2012,2,SG,12,355,144539
2012,2,TZ,2,84,50477
2012,2,US,1351,8471,7608165
2012,2,ZA,56,2239,1427469
2012,3,AU,141,2460,1778960
2012,3,BD,2,140,95138
2012,3,CA,359,8845,6419692
2012,3,GB,639,8412,5934436
2012,3,GH,6,214,157741
2012,3,HK,11,121,83036
2012,3,IE,54,1504,880720
2012,3,IN,158,5916,3453742
2012,3,JM,3,389,269461
2012,3,KE,6,298,143393
2012,3,LK,11,156,126097
2012,3,MY,12,405,267120
2012,3,NG,15,556,479115
2012,3,NZ,59,1510,799057
2012,3,PH,17,761,459674
2012,3,PK,24,981,604909
2012,3,SG,12,355,153033
2012,3,TZ,2,116,87836
2012,3,US,1326,8424,7627423
2012,3,ZA,56,2490,1593084
2012,4,AU,146,2579,1788576
2012,4,BD,3,145,107023
2012,4,CA,367,8603,5982758
2012,4,GB,593,8034,5568886
2012,4,GH,5,174,125584
2012,4,HK,8,47,31639
2012,4,IE,53,1395,791095
2012,4,IN,153,6169,3556551
2012,4,JM,2,408,283944
2012,4,KE,9,320,153400
2012,4,LK,8,115,136360
2012,4,MY,12,425,296214
2012,4,NG,16,592,570188
2012,4,NZ,58,1519,820292
2012,4,PH,19,792,488004
2012,4,PK,24,996,582734
2012,4,SG,14,381,156968
2012,4,TZ,2,96,69383
2012,4,US,1231,8072,7170835
2012,4,ZA,59,2394,1483531
2012,5,AU,160,2844,1900120
2012,5,BD,3,159,131053
2012,5,CA,381,10035,6919053
2012,5,GB,607,8844,6000952
2012,5,GH,5,211,155008
2012,5,HK,9,111,83733
2012,5,IE,56,1623,892082
2012,5,IN,164,6756,3837722
2012,5,JM,2,408,271172
2012,5,KE,9,381,184065
2012,5,LK,11,125,108304
2012,5,MY,11,457,303467
2012,5,NG,18,619,580214
2012,5,NZ,60,1720,924333
2012,5,PH,24,1072,606959
2012,5,PK,26,1062,680405
2012,5,SG,13,356,165116
2012,5,TZ,4,132,73634
2012,5,US,1347,9138,8113087
2012,5,ZA,60,2985,1872293
2012,6,AU,153,2709,1856282
2012,6,BD,2,141,100994
2012,6,CA,378,9186,6342908
2012,6,GB,565,7734,5218551
2012,6,GH,8,168,120193
2012,6,HK,10,68,61173
2012,6,IE,52,1627,872268
2012,6,IN,164,6065,3416549
2012,6,JM,2,401,258594
2012,6,KE,8,334,173155
2012,6,LK,10,113,83493
2012,6,MY,11,467,328434
2012,6,NG,17,515,430418
2012,6,NZ,60,1569,816107
2012,6,PH,22,1093,640071
2012,6,PK,24,1054,581331
2012,6,SG,16,410,168642
2012,6,TZ,4,112,68251
2012,6,US,1273,8064,7237943
2012,6,ZA,57,2884,1799258
2012,7,AU,148,3033,2057177
2012,7,BD,2,153,114511
2012,7,CA,383,8812,6087918
2012,7,GB,572,8026,5292469
2012,7,GH,5,144,86301
2012,7,HK,13,100,86163
2012,7,IE,59,1753,981349
2012,7,IN,156,6342,3527479
2012,7,JM,3,456,312353
2012,7,KE,7,384,183724
2012,7,LK,5,65,41035
2012,7,MY,13,348,235910
2012,7,NG,17,630,559660
2012,7,NZ,66,1805,944950
2012,7,PH,21,1098,610777
2012,7,PK,20,1118,686506
2012,7,SG,17,467,185868
2012,7,TZ,3,142,69044
2012,7,US,1266,8103,7389587
2012,7,ZA,56,2920,1835707
2012,8,AU,155,2968,1983351
2012,8,BD,2,126,86288
2012,8,CA,378,8837,5960032
2012,8,GB,601,7961,5297245
2012,8,GH,5,325,161722
2012,8,HK,11,81,66055
2012,8,IE,52,1687,955036
2012,8,IN,161,6063,3348880
2012,8,JM,3,422,282173
2012,8,KE,8,362,199490
2012,8,LK,9,119,73185
2012,8,MY,14,332,225263
2012,8,NG,20,666,584551
2012,8,NZ,59,1943,1040859
2012,8,PH,18,1081,602895
2012,8,PK,24,1049,641934
2012,8,SG,24,363,150454
2012,8,TZ,3,135,65894
2012,8,US,1299,8330,7804631
2012,8,ZA,61,3157,1949068
2012,9,AU,142,2770,1825425
2012,9,BD,4,165,100261
2012,9,CA,380,8796,6119736
2012,9,GB,596,7744,5239812
2012,9,GH,4,344,212942
2012,9,HK,9,72,58531
2012,9,IE,51,1444,815787
2012,9,IN,156,5762,3419623
2012,9,JM,3,427,298518
2012,9,KE,11,445,225916
2012,9,LK,12,81,66666
2012,9,MY,12,406,283488
2012,9,NG,15,665,586658
2012,9,NZ,55,1781,907833
2012,9,PH,21,1151,645861
2012,9,PK,22,1079,588487
2012,9,SG,22,333,133879
2012,9,TZ,4,154,81819
2012,9,US,1314,7887,7362194
2012,9,ZA,63,2687,1609132
2012,10,AU,162,3084,2111345
2012,10,BD,2,129,78821
2012,10,CA,383,8891,6260466
2012,10,GB,595,8100,5463006
